,1,2,3,4,5,6,7,8,9,10,11,12
2000,17.2,90.9,45.0,78.3,52.2,23.3,118.0,109.0,105.0,131.0,142.0,68.5
2001,145.0,45.0,284.0,115.0,73.6,128.0,107.0,70.5,92.8,81.4,35.0,37.4
2002,63.5,78.5,58.1,22.2,147.0,64.9,117.0,91.0,27.9,88.7,253.0,81.5
2003,80.6,22.7,18.1,60.4,31.5,58.6,40.9,110.0,75.1,176.0,53.9,29.6
2004,140.0,27.7,60.4,31.8,43.2,61.3,76.7,183.0,16.7,150.0,31.6,20.3
2005,33.3,18.3,21.3,87.4,75.9,52.3,65.9,76.0,66.2,65.8,37.4,64.8
2006,23.6,71.1,139.0,116.0,98.0,49.9,48.5,426.0,61.2,106.0,124.0,58.3
2007,72.7,101.0,79.5,23.2,121.0,166.0,140.0,140.0,90.1,24.6,71.4,88.4
2008,75.6,31.2,80.0,143.0,66.7,78.0,96.2,91.4,214.0,87.2,43.3,118.0
2009,71.6,55.1,51.2,36.4,29.1,93.7,84.5,66.9,52.0,39.7,143.0,148.0
2010,44.4,97.2,60.1,22.0,109.0,76.7,7.2,65.8,36.1,30.6,101.0,96.2
2011,44.5,14.2,17.1,18.7,36.1,64.7,102.0,70.5,44.5,36.0,18.8,127.0
2012,82.4,0.4,13.7,108.0,76.7,95.0,45.8,81.7,77.5,49.8,180.0,146.0
2013,46.4,44.5,77.1,106.0,112.0,55.4,126.0,36.3,69.9,139.0,108.0,101.0
2014,92.6,121.0,39.4,60.1,70.4,54.6,175.0,52.8,40.0,143.0,107.0,45.7
2015,80.6,52.2,52.0,63.5,96.1,44.9,28.7,63.4,122.0,35.6,37.3,13.5
2016,165.0,81.7,38.9,93.5,76.7,132.0,63.3,21.2,33.2,89.7,89.0,0.2
2017,25.4,51.6,56.8,40.0,81.1,77.4,40.4,62.1,43.8,18.1,63.8,132.0
2018,173.0,28.9,105.0,19.0,97.7,93.7,49.0,62.5,22.3,27.9,72.6,112.0
2019,42.6,40.3,45.6,63.1,40.7,112.0,44.4,60.4,25.0,102.0,114.0,140.0
